File Path,API_Group_1,API_Group_2,API_Group_3,API_Group_4,API_Group_5,API_Group_6,API_Group_7,API_Group_8,API_Group_9,API_Group_11,API_Group_12,API_Group_13,API_Group_14,API_Group_15,API_Group_16,API_Group_17,API_Group_18,API_Group_19,API_Group_20,Label
/content/drive/MyDrive/y/ransomware/B91CC082791C4643DC2876AA1F3760AE03D33ECD16658465C69210EEBB458B08,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/044F0E6B01F6607FFBDE6944D07B3431A96587C10ED49DA14DBD03E12EE41596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/11048CE1B791F7D0425BDAAE2F0C6A5F41CA61A1A7EDB6BE16FA1C0871651C55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/21C644438A00FB75FABB577076933A99119E9F07E71EAAB3F7DC6C629860C4C0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/632C166DA128B1E11DE2039DA4E4F2806D0D5DDDC4E779790755CC25EF03AF20,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/CB4957CA31C15745B25AAF474F66582DAF99A9060A54F31AA5557317EA010684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/09A99C43AA9998E094F4F942206844BD8F3083AB8A8BCBD31DAA894FD1FFECC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/13CD1EE8666A1339115D372C238EA8EB629DC8B878C569AA909413DBE7FF346C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/3907E84E294419C8A5C88A27420CB3A509C07836636D5CBB812BB2141ABD93C4,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/079FDF27A1D4EB616663E7076844FE12C0685E8AA0B126B3E27F1D2D950C95BF,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/07A2CBE733AEC02145C1757B8EC97102C30286C5EC7864A53BD260D2706E3EF4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/059365D23F72EAE75E60B618E230EF964C48077986EC844BD4EFD08D8AE09966,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/89613F71D105C5424109BB6D72E256B670A84EEB4BC9FAA7991BEFECD5C1845D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/33C1EEF87EAC9E767F8EE13B87CF11150BCE7D5253F76D87DCB91EF9C1AD85A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/00787FEAFCA1011D4BF284546603ACCB57D71C37486365D6E26972487637630F,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1
/content/drive/MyDrive/y/ransomware/3D1724D45B6A685907F9CABD21631A52223E7D406C623A3FDDFCD19329CF353F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/159DBE389C8674D0361160FCFFC765C7E578EB6062E22BF63837BF4E915B6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/05731714429349D9B4EFFBF0D1DE415BC603C2C29803408F0CEC4F02183D9012,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1
/content/drive/MyDrive/y/ransomware/1F0883DCA91C8EDC62DD7BC3722A4B8C4BF568BC8896791565EA72FDC018D4F1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
/content/drive/MyDrive/y/ransomware/017B6D919B6C7574D44BAC073D28A9BFFF9A60D4636B3B1136AF1D1487F40E98,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/0389CFC4CDB8B9A288CF1F76E3CDC5F007FEC739F12F3B98D70FF9B9C6387873,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/26E08E531EFBF7F1A8E8E724BC732AF78ECA2600CB5A282B86C7CCA82A18A895,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
/content/drive/MyDrive/y/ransomware/4FBDED3B4A76D753743CC5B0D4C7B1F5EE5B262A79051D4EF0085513B49505F2,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1
/content/drive/MyDrive/y/ransomware/056CBD688DC6FF01931192510BFBCAF3ACFE28B39C0D44100370B038F32187A1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/D3333A601606296A393B714AB572E8D3C768A2DAF117CF77C3BC24E7C4D10789,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1
/content/drive/MyDrive/y/ransomware/25CA1D68D64FE10FA2BDC57B78C2AF42AF8684042EEC4619BC4D8BD22B00155A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/13A69160603C9286148B72A4BA2EDB05CB618DA4203BC8AF224A6E245D8A115E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
