File Path,API/DLL_1,API/DLL_2,API/DLL_3,API/DLL_4,API/DLL_5,API/DLL_6,API/DLL_7,API/DLL_8,API/DLL_9,API/DLL_10,API/DLL_11,API/DLL_12,API/DLL_13,API/DLL_14,API/DLL_15,API/DLL_16,API/DLL_17,API/DLL_18,API/DLL_19,API/DLL_20,API/DLL_21,API/DLL_22,Label
/content/drive/MyDrive/y/ransomware/414E6E1FD3889DB48779B4452E28DCA9371A552356F6A658B7B1CE005D3B1C27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
/content/drive/MyDrive/y/ransomware/2C4B2EA9D052DF143C3ACDAF323A59F7889DE7B911C1C4FEB0EC543DD118F237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/295F78FE48D24888AD28CDAE651610A90605AF898C4A9C87E0762E3D36D2EECF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/389747789DFAB2142873617585E342575792D8C1C85F4B51B36539A16C461B5A,4,3,0,5,3,3,2,4,6,5,11,5,2,2,4,1,3,2,0,19,2,5,1
/content/drive/MyDrive/y/ransomware/0622BC7153AF5D86434A0FB2FEFF749BECE5A9576DF453BB6E279BF4086BF75C,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,4,1
/content/drive/MyDrive/y/ransomware/0DBBB09EC558A7E92A9AD24CCE946E1737BC944992DBDB377FC7AF18008BC9D6,2,0,5,0,3,3,1,2,0,0,10,2,1,1,3,1,3,0,0,12,1,4,1
/content/drive/MyDrive/y/ransomware/564DBCC5A183BFB45BF46307EEC163195DF826101841EA07CCB6009F54FCE170,3,0,5,0,4,3,2,1,1,0,1,2,0,1,3,0,2,1,0,9,2,5,1
/content/drive/MyDrive/y/ransomware/06328B4C00CE3F69C78B6B078CC196CDE533B40BE72C71CF6A9E66FD4D489056,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/9B7561432B3E829B9AC6E18B93A67F1A68E3870008A89A381E38D36D0253C7DB,3,0,4,0,4,3,2,1,1,0,1,2,0,1,3,0,2,1,0,9,2,5,1
/content/drive/MyDrive/y/ransomware/39779037F99B69BC52B17F69FD9E487AD01925CCB4B380EC1B0CED2C361D4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
