File Path,API/DLL_1,API/DLL_2,API/DLL_3,API/DLL_4,API/DLL_5,API/DLL_6,API/DLL_7,API/DLL_8,API/DLL_9,API/DLL_10,API/DLL_11,API/DLL_12,API/DLL_13,API/DLL_14,API/DLL_15,API/DLL_16,API/DLL_17,API/DLL_18,API/DLL_19,API/DLL_20,API/DLL_21,API/DLL_22,API/DLL_23,API/DLL_24,API/DLL_25,API/DLL_26,API/DLL_27,API/DLL_28,API/DLL_29,Label
/content/drive/MyDrive/y/ransomware/0383FE97F267FE81C9C5181172A7DB649EE9D57F16B6CF5B567CCB3821EB2FB4,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/05EAB5F7A07D1766A25B57E55695CCFD7A77B1C407E923F31FBFD8F3C385ED8B,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/748079491BEAC996E3B20F98D02D21B8B3AEDA8B1F396D5414B12EBABA060A56,4,2,3,0,5,3,3,2,4,1,6,4,2,5,11,5,2,2,4,1,1,1,1,3,7,2,0,0,0,1
/content/drive/MyDrive/y/ransomware/43BDE392169C300AED5BDFD3F7A0B66CD9A95BAEB5DBEDCA20D9466B2EAC07D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/04F9AAA713376F5ED30CC317CF4FD1E863DBCE536C358D9F50A4B9ECF8AF7BB6,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/0246787C0568E47A1AA998209988994E0BA2AB871F98C88285241232DEECDC52,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/43DDA7246D111402379F3416861547144629DC8BDEEC77008B43A824CB4B65C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0096EE4A2D3B6B7EC029CABAFCEC1A38EEED875357E73A064E5CA94F3F0CC697,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/4BF27E03530BFE1A2B0BD151F0A13E0F994811916F4C456BAF863C40CAE799A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/074E893E39EF3134C5052CA68BCAE73D28CC88F431251027073730E5B3BF6CFF,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/2432AB15DA6F0E9CA76F3243B47D3F852D36E9F7F5A13FF4E26D38B3F5407651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/3208EFE96D14F5A6A2840DAECBEAD6B0F4D73C5A05192A1A8EEF8B50BBFB4BC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/BAE48FE24D140F4C1C118EDBFAEE4AB6446C173A0D0B849585A88DB3F38F01B8,4,2,3,0,5,3,3,2,4,1,6,4,2,5,11,5,2,2,4,1,1,1,1,3,7,1,0,0,3,1
/content/drive/MyDrive/y/ransomware/057B06005B3BC4FFB7436079AF409DFBBB0594F830DFECAD278BF8619974B5CA,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/02A31284AEBBAFEA6CEC15BEC961D84F7F8D9B91395D49159F4A473E48D5758F,2,2,0,5,0,3,3,1,2,1,0,6,0,0,10,2,1,1,3,0,1,1,1,3,1,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/06B104F164B7A2163AF14E8278AC4EEC3DE1871EABAC7476C407978F29A8759B,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/136CC4EF889C766B3A470F434C18C1237A6CE83C2C82F16114B0B203D679374B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/CB7EAB0B1B77EBD7488B3DBA7BE0034BE5E9F298D6BF755858331F48CED8E96F,2,0,2,0,1,3,3,1,0,2,1,2,0,0,3,2,0,1,3,0,0,0,0,2,0,0,1,0,3,1
/content/drive/MyDrive/y/ransomware/03C0671A0CDE47E1FBC39E01A1480F61201667C61E63D50541741E939B5670CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/2A1A60738D732C57F34251F9AD6081B6576210E8B44F420F78E1ADFD2F7D2B24,3,0,0,0,0,4,3,0,1,1,0,4,1,0,10,2,1,1,3,0,1,1,1,3,1,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/06611E3E0011ACA00686D4CEF0FEC82C9CEB98554174F8D4BD5F7CF6EC861960,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/2C02CA18C9B2733E7025E9D3DBD1B83199AF4F69C585941CD7F8F72C17DA4A78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/077AE57AB39583C052FB576704DC3D9CF97A3DE6F07E9C0C3E47AE5C45DC7CD6,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
